t,x,y,z
0.0,0.9051293379221973,0.7959910648957533,-3.400013849935026
0.05,0.9490594704182399,0.9850698263052263,-3.4051389017110663
0.1,1.0783530489199233,1.2646624709076473,-3.383799541765203
0.15000000000000002,1.323535802696103,1.7362478182929557,-3.284084245055861
0.2,1.7511453811079725,2.510792058607728,-2.947050901393639
0.25,2.44021798698406,3.604665144375722,-1.9861999094587623
0.30000000000000004,3.3051534309580655,4.338125030605585,0.1730257012083181
0.35000000000000003,3.747485015583899,3.1811092842224316,2.705578691970005
0.4,3.114900866442116,0.8331542112722806,3.1169280179831356
0.45,1.9177312323603166,-0.363789206310695,2.001408523298177
0.5,0.9405920041890945,-0.542383481356379,1.077463551086738
0.55,0.34439897112661283,-0.4765509347936365,0.5545138260244381
0.6000000000000001,0.011841719001355604,-0.42996551713173836,0.2545993531360217
0.65,-0.1850547169166566,-0.4475405165712201,0.07977592607810408
0.7000000000000001,-0.32499432555123514,-0.5159167640900483,-0.0008126850135414409
0.75,-0.4472954816285708,-0.6090898036902725,0.006957939625170891
0.8,-0.5628062560626792,-0.6939776654458636,0.09702771353453223
0.8500000000000001,-0.6608798181643551,-0.7353174359334426,0.2509917934186818
0.9,-0.7234013068001769,-0.7070302601232509,0.42495614035531465
0.9500000000000001,-0.7311287502688616,-0.6113352516040548,0.5613710352652796
1.0,-0.6818367185294985,-0.47675128780801135,0.6163211726482465
1.05,-0.5924298692641663,-0.3483286636845229,0.5773517137980585
1.1,-0.4899372958301651,-0.2611322583337409,0.46045527220607185
1.1500000000000001,-0.40281325186366124,-0.23165518686849837,0.30751449597059893
1.2000000000000002,-0.3503483711051298,-0.25744720893426715,0.15301438382365393
1.25,-0.3414063108409282,-0.3298246086801806,0.026302084813768164
1.3,-0.3755138696253312,-0.43186453941377057,-0.048432490925397656
1.35,-0.4472118924939554,-0.5507600557934655,-0.05294281142554062
1.4000000000000001,-0.5436353284015808,-0.6630106996918335,0.02225399621749818
1.4500000000000002,-0.6435779147554613,-0.7374918175092712,0.16956077889279178
1.5,-0.721341664046088,-0.7417718527232775,0.3568222446132897
1.55,-0.7510513220401465,-0.665151928458027,0.5287182560771881
1.6,-0.7198070449649566,-0.5317750043203598,0.6266626652102021
1.6500000000000001,-0.6364935348903727,-0.38920846596998737,0.6231415939228433
1.7000000000000002,-0.5289150796444579,-0.27647258432580324,0.528814692748006
1.75,-0.42683917926611376,-0.2215510996645404,0.3764858248091037
1.8,-0.3551411460909625,-0.22688719089054982,0.20855942659858678
1.85,-0.32661459445026225,-0.2825476270394923,0.06001104382272606
1.9000000000000001,-0.3443941520586661,-0.37825061037042684,-0.04418493225062761
1.9500000000000002,-0.4034201105673966,-0.49858501344453426,-0.08379524301364608
2.0,-0.4958502916127964,-0.6242161617602551,-0.04174469647698885
2.0500000000000003,-0.6045062432495387,-0.7255992276797435,0.08434574381268231
2.1,-0.7015763758391577,-0.7669979670898794,0.27259405487919847
2.15,-0.758116626841625,-0.7232517712536745,0.4706973705043976
2.2,-0.7531398984547327,-0.6008025162854976,0.615773563047782
2.25,-0.6853557679801313,-0.4434433220748289,0.6590693789004645
2.3000000000000003,-0.5764752416340271,-0.30429853687507147,0.594224145617801
